"";"txj";"vv";"lower_txj";"upper_txj";"lower_vv";"upper_vv"
"1";0;15784,1307473431;0;0;13147,2108093693;17964,7170281978
"2";-0,0362144397811129;11820,2077935379;-0,0549001357253939;-0,0186855577016265;9018,96362342446;13317,5409992986
"3";-0,052812843180959;9682,12624292115;-0,0718045812812729;-0,027689951674336;6633,2237083141;11201,3979803234
"4";-0,0596833895138167;8461,57642201528;-0,0774817123078516;-0,0300177086925939;5440,39624233818;10210,1595305594
"5";-0,0617574585759626;7705,08354050291;-0,0787619184247144;-0,03024721804266;4677,2139381883;9500,32564210184
"6";-0,0614932832697008;7186,12804042159;-0,0778724494064526;-0,0284770263627344;3984,87556338684;9062,34128154209
"7";-0,0601151893274744;6791,44229089857;-0,0762486612751854;-0,0258579589854167;3436,34453282294;8478,05741679785
"8";-0,058231922729068;6464,27674917233;-0,0745465554292943;-0,0231999357861216;2980,84863704242;7987,07550003365
"9";-0,0561451667659549;6176,09163309445;-0,0725968424881663;-0,0206609135148202;2570,55696834406;7642,09389527756
"10";-0,0540034762297262;5912,43180793395;-0,0704722703939517;-0,0183110080352478;2218,65517433034;7341,81103899631
"11";-0,0518790810464913;5665,87854782781;-0,0683807146320212;-0,0162889849344008;1921,74827584707;7070,66198960749
