"";"V1"
"1";0,69240766221194
"2";0,127773233929883
"3";0,110076757071161
"4";-0,0884683702418376
"5";0,0616030258940224
"6";0,0218783882510992
"7";0,116416133192753
"8";0,0956208672603227
"9";0,230316400502569
"10";0,129579113911812
"11";0,288531850238642
"12";0,320556170826762
"13";-0,209159364914465
"14";-0,0392819826637774
"15";-0,111825942726047
"16";-0,216597671521034
"17";-0,0821509071260338
"18";0,00092793505365088
"19";-0,0417542223471867
"20";-0,0834713889233089
"21";-0,0707289478457303
"22";0,0101779486700266
"23";0,0615948850057997
"24";0,00794327257920772
"25";-0,0471902156166417
"26";-0,0523771091092085
"27";-0,131705118102062
"28";-0,0305578487987422
"29";-0,00682761245297825
"30";-0,0247676816830204
"31";0,0469051588171055
"32";0,0431277557645931
"33";0,0765214705702044
"34";0,0418153575895405
"35";0,00266116830139807
"36";-0,0563930936764285
"37";-0,109469907935825
"38";-0,0421540069808027
"39";0,0385001305085513
"40";-0,0449289724245584
"41";-0,117283293634224
"42";0,0124746732525713
"43";-0,0127990273636371
"44";-0,0742483168531107
"45";-0,00146569770120904
"46";0,0415251976016946
"47";-0,0471514877820461
"48";0,255591591838923
"49";-0,0491370107810979
"50";-0,0985070874952494
