"";"c";"y"
"1947.25";59;-120
"1947.5";-18;89
"1947.75";-28;-81
"1948";18;95
"1948.25";31;124
"1948.5";-12;77
"1948.75";14;-11
"1949";-16;-121
"1949.25";37;-22
"1949.5";-30;-13
"1949.75";14;-6
"1950";53;331
"1950.25";76;-45
"1950.5";172;1
"1950.75";-117;91
"1951";72;-60
"1951.25";-111;118
"1951.5";24;14
"1951.75";7;-15
"1952";-3;-27
"1952.25";67;30
"1952.5";7;92
"1952.75";88;14
"1953";43;45
"1953.25";5;60
"1953.5";-29;-36
"1953.75";-21;-3
"1954";3;-18
"1954.25";26;-49
"1954.5";55;62
"1954.75";67;79
"1955";57;9
"1955.25";64;89
"1955.5";29;72
"1955.75";63;76
"1956";-8;24
"1956.25";-15;20
"1956.5";-9;3
"1956.75";29;43
"1957";13;-15
"1957.25";-11;16
"1957.5";13;5
"1957.75";-8;-35
"1958";-72;-61
"1958.25";34;21
"1958.5";57;100
"1958.75";31;52
"1959";63;-9
"1959.25";51;75
"1959.5";27;-56
"1959.75";-7;24
"1960";-1;17
"1960.25";52;13
"1960.5";-48;-28
"1960.75";-13;-42
"1961";-12;34
"1961.25";56;69
"1961.5";-19;27
"1961.75";76;79
"1962";36;40
"1962.25";35;29
"1962.5";28;13
"1962.75";45;1
"1963";25;38
"1963.25";14;19
"1963.5";59;42
"1963.75";18;73
"1964";95;108
"1964.25";81;156
"1964.5";84;61
"1964.75";-2;51
"1965";85;25
"1965.25";54;83
"1965.5";86;164
"1965.75";135;93
"1966";57;25
"1966.25";11;23
"1966.5";43;54
"1966.75";1;47
"1967";33;98
"1967.25";69;52
"1967.5";17;40
"1967.75";21;32
"1968";120;83
"1968.25";75;103
"1968.5";106;-19
"1968.75";10;29
"1969";61;-10
"1969.25";29;73
"1969.5";20;140
"1969.75";38;40
"1970";29;17
"1970.25";11;113
"1970.5";38;69
"1970.75";-44;-48
"1971";90;101
"1971.25";38;91
"1971.5";17;-15
"1971.75";70;1
"1972";86;34
"1972.25";106;60
"1972.5";84;139
"1972.75";161;300
"1973";86;94
"1973.25";-32;48
"1973.5";16;46
"1973.75";-56;71
"1974";-105;-182
"1974.25";27;-108
"1974.5";26;26
"1974.75";-124;-52
"1975";43;-107
"1975.25";112;408
"1975.5";61;-168
"1975.75";58;60
"1976";151;118
"1976.25";41;26
"1976.5";71;36
"1976.75";104;50
"1977";100;0
"1977.25";0;81
"1977.5";63;143
"1977.75";96;45
"1978";19;93
"1978.25";148;131
"1978.5";18;33
"1978.75";60;86
"1979";10;40
"1979.25";-35;-70
"1979.5";33;1
"1979.75";18;-30
"1980";-35;26
"1980.25";-209;-205
"1980.5";71;65
"1980.75";57;110
