"";"V1"
"1";1
"2";0,69240766221194
"3";0,545943491258915
"4";0,474553676034907
"5";0,34485340566666
"6";0,29668672221965
"7";0,25925406135473
"8";0,267136344873178
"9";0,295922853501835
"10";0,38848731536812
"11";0,449843634294071
"12";0,56202200490466
"13";0,683810970580394
"14";0,532090651613865
"15";0,456969055227575
"16";0,369957821077037
"17";0,201843144553273
"18";0,1458118673549
"19";0,129349931674828
"20";0,116806471056733
"21";0,121860360749839
"22";0,175400580196465
"23";0,248984854358466
"24";0,359575357769912
"25";0,418024046240071
"26";0,32665058549518
"27";0,266767453704179
"28";0,145587966162038
"29";0,0115143009204908
"30";-0,032106115308485
"31";-0,0681272227367327
"32";-0,0711629730690822
"33";-0,0438992129894957
"34";0,0264457175311261
"35";0,0990667654143552
"36";0,176426863109818
"37";0,197113557679912
"38";0,127505095175795
"39";0,0796584147553594
"40";-0,0158783801895217
"41";-0,13820728526862
"42";-0,21696026726656
"43";-0,238303602414466
"44";-0,22958354352267
"45";-0,216144091639173
"46";-0,145285920407384
"47";-0,054220322519115
"48";0,00408251460320554
"49";0,109588435897361
"50";0,0396856926727278
"51";-0,0547461742101481
